stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514251,-0.075683,circle,yes,1,"Aldgate Station,London Underground Ltd.,Aldgate High St,London,EC3N 1AH"
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.52028,-0.097988,circle,yes,1,"Barbican Station,London Underground Ltd.,Aldersgate St,London,EC1A 4JA"
940GZZLUBKF,Blackfriars Underground Station,NaptanMetroStation,51.511586,-0.103654,circle,yes,1,"Blackfriars Station,London Underground Ltd.,Blackfriars Road,London,EC4R 2BB"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,circle,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUBWT,Bayswater Underground Station,NaptanMetroStation,51.512289,-0.187935,circle,yes,1,"Bayswater Station,London Underground Ltd.,Queensway,London,W2 4RH"
940GZZLUCST,Cannon Street Underground Station,NaptanMetroStation,51.511515,-0.090426,circle,yes,1,"Cannon Street Underground Station,London Underground Ltd.,Cannon St,London,EC4N 6AP"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507062,-0.122662,circle,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519863,-0.167829,circle,yes,1,"Edgware Road Circle,London Underground Ltd.,Chapel Street,London,NW1 5DH"
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525609,-0.135825,circle,yes,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN"
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520257,-0.104908,circle,no,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY"
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502009,-0.226714,circle,yes,2,"Goldhawk Road Station,London Underground Ltd.,Goldhawk Rd,London,W12 8EG"
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.523845,-0.144258,circle,yes,1,"Great Portland Street Station,London Underground Ltd.,Euston Rd,London,NW1"
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494321,-0.182655,circle,yes,1,"Gloucester Road Station,London Underground Ltd.,Gloucester Rd,London,SW7 4SF"
